date,count
2023-01-23,250
2023-01-24,280
2023-01-25,290
2023-01-26,321
2023-01-27,350
2023-01-28,520
2023-01-29,600
2023-01-30,220
2023-01-31,213
2023-02-01,243
2023-02-02,311
2023-02-03,335
2023-02-04,340
2023-02-05,630
